"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
63,169000,2008,1,0,0,1,0,3890
88,149000,2003,1,0,1,0,0,2490
79,255000,2002,0,0,1,0,0,1880
79,146500,2001,0,0,0,0,0,2500
88,171080,2004,1,0,0,1,0,2690
81,159000,2011,0,0,0,1,0,6800
66,162742,2012,0,0,0,1,0,7290
60,145000,2004,1,0,0,0,0,2890
68,98801,2013,0,0,0,1,0,7850
88,145000,2004,0,0,0,1,0,3590
88,175000,2004,0,0,0,1,0,2099
63,178667,2010,0,0,1,0,0,6300
96,175000,2006,1,0,0,1,0,2890
60,190144,2004,0,0,0,0,0,2650
75,151150,2008,1,0,1,0,0,3590
75,167000,2001,0,0,0,1,0,1999
88,181000,2004,1,0,0,1,0,3100
81,146000,2011,1,0,0,1,0,7500
60,204000,2003,1,0,1,0,0,3090
74,163427,2004,1,0,0,0,0,3350
74,172801,2005,1,0,0,1,0,3150
60,172652,2003,1,0,0,0,0,3150
79,196000,2003,0,0,0,1,0,1950
72,144100,2002,0,0,1,0,0,2250
63,150257,2010,0,0,0,1,0,6450
63,169000,2008,1,0,0,1,0,3890
88,149000,2003,1,0,1,0,0,2490
79,255000,2002,0,0,1,0,0,1880
79,146500,2001,0,0,0,0,0,2500
88,171080,2004,1,0,0,1,0,2690
81,159000,2011,0,0,0,1,0,6800
66,162742,2012,0,0,0,1,0,7290
60,145000,2004,1,0,0,0,0,2890
68,98801,2013,0,0,0,1,0,7850
88,145000,2004,0,0,0,1,0,3590
88,175000,2004,0,0,0,1,0,2099
63,178667,2010,0,0,1,0,0,6300
96,175000,2006,1,0,0,1,0,2890
60,190144,2004,0,0,0,0,0,2650
75,151150,2008,1,0,1,0,0,3590
75,167000,2001,0,0,0,1,0,1999
88,181000,2004,1,0,0,1,0,3100
81,146000,2011,1,0,0,1,0,7500
60,204000,2003,1,0,1,0,0,3090
74,163427,2004,1,0,0,0,0,3350
74,172801,2005,1,0,0,1,0,3150
60,172652,2003,1,0,0,0,0,3150
79,196000,2003,0,0,0,1,0,1950
72,144100,2002,0,0,1,0,0,2250
63,150257,2010,0,0,0,1,0,6450
74,181233,2004,0,0,0,1,0,3000
66,142000,2011,0,0,0,1,0,6700
88,136444,2003,1,0,0,0,0,3050
60,115653,2003,1,0,0,0,0,2950
70,201000,2001,0,0,0,1,0,2550
79,196000,2003,0,0,0,1,0,2499
66,150000,2010,0,0,1,0,0,6190
70,154300,2001,0,0,0,0,0,2050
74,188000,2005,0,0,0,1,0,3000
88,156300,2004,1,0,0,0,0,3850
60,198501,2003,1,0,0,0,0,2799
60,110212,2003,0,0,1,0,0,2800
88,127548,2003,0,0,1,0,0,2700
63,153000,2008,0,0,0,0,1,3299
88,176000,2004,0,0,0,0,0,2590
88,205000,2004,1,0,0,1,0,2990
66,162132,2010,1,0,0,1,0,6950
75,176000,2001,0,0,1,0,0,1990
88,156000,2004,1,0,0,1,0,2990
78,174000,2006,1,0,0,1,0,3750
66,160915,2012,0,0,0,0,0,6990
66,142000,2012,0,0,1,0,0,7200
63,150000,2006,1,0,0,0,0,3650
66,146468,2010,0,0,1,0,0,6200
66,164835,2011,0,0,1,0,0,6400
81,172609,2010,1,0,0,1,0,6600
88,175547,2003,1,0,1,0,0,2900
70,165000,2001,0,0,0,1,0,1650
96,218340,2005,1,0,0,1,0,3400
75,266000,2005,0,0,0,1,0,2650
77,155000,2007,0,0,1,0,0,3990
85,230000,2004,1,0,0,1,0,3100
63,144000,2004,0,0,1,0,0,2550
63,153000,2010,0,0,0,0,0,6200
88,161500,2004,1,0,0,1,0,2850
88,164500,2004,1,0,1,0,0,2690
96,162200,2005,1,0,1,0,0,3690
66,125000,2011,0,0,1,0,0,6399
66,169134,2012,1,0,1,0,0,7599
81,175400,2011,1,1,0,1,0,6999
96,146000,2010,0,0,0,1,0,6450
78,90000,2006,1,0,0,0,0,4650
88,170000,2003,1,0,1,0,0,2950
81,190000,2013,0,0,1,0,0,7000
88,211000,2005,0,0,1,0,0,2699
88,152000,2004,0,0,0,1,0,3000
83,130000,2003,0,0,1,0,0,2950
74,139800,2004,1,0,1,0,0,3290
66,161966,2011,0,0,0,0,0,6190
96,146000,2006,1,0,0,1,0,3795
96,175000,2006,1,0,0,1,0,3450
60,217581,2005,1,0,0,0,0,3450
83,198300,2002,0,0,1,0,0,2590
63,171000,2004,1,0,0,1,0,2800
63,152000,2006,0,0,0,1,0,3999
83,74777,2005,0,0,0,0,0,3300
88,172000,2004,1,0,0,0,0,3000
79,156149,2002,0,0,0,0,0,2250
74,171485,2004,1,0,1,0,0,3150
82,170000,2006,0,1,0,1,0,3500
74,136000,2005,0,0,0,1,0,3040
88,165278,2003,1,0,0,1,0,2650
63,161985,2010,0,0,1,0,0,6150
96,150356,2006,1,0,0,1,0,3690
78,198000,2006,1,0,0,1,0,3350
60,138000,2003,0,0,0,0,0,2290
78,115000,2009,1,0,0,0,1,7800
78,160000,2007,0,0,0,1,0,3790
70,175000,2002,0,0,0,1,0,2000
96,145000,2008,1,1,0,1,0,5300
88,217045,2003,0,0,0,0,0,2500
70,140521,2001,0,0,0,0,0,1990
74,44500,2011,0,0,1,0,0,8200
88,181600,2003,1,0,1,0,0,2700
88,261000,2003,1,0,0,0,0,2700
90,168000,2004,1,0,0,1,0,2950
60,130000,2004,0,0,1,0,0,3200
88,163540,2004,1,0,0,1,0,2999
78,122569,2006,0,0,1,0,0,4000
77,230000,2003,0,0,0,1,0,1500
83,187000,2003,0,0,0,0,0,2350
83,197000,2003,1,0,1,0,0,2999
88,237750,2003,1,0,1,0,0,2390
